index,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text,sentiment
289,2/1/18 12:02,184812,9.59034E+17,FALSE,37362,Twitter for iPhone,Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched the highest number in history. @FoxNews beat every other Network for the first time ever with 11.7 million people tuning in. Delivered from the heart!,0.8221
290,2/1/18 11:51,123474,9.59032E+17,FALSE,29920,Twitter for iPhone,March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist Blame Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix NOW!,-0.636
291,2/1/18 11:43,138117,9.59029E+17,FALSE,28485,Twitter for iPhone,Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in ‘18.,0.8049
292,1/31/18 2:00,109076,9.5852E+17,FALSE,22023,Twitter for iPhone,Join me live for the #SOTU https://t.co/0SLktWxfHi,0.296
293,1/29/18 20:12,84209,9.5807E+17,FALSE,16431,Twitter for iPhone,Congratulations to America’s new Secretary of @HHSGov Alex Azar! https://t.co/Y9inQaCt7o,0.636
294,1/28/18 13:18,199787,9.57604E+17,FALSE,42337,Twitter for iPhone,Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Chrysler as an example is leaving Mexico and coming back to the USA. Unemployment is nearing record lows. We are on the right track!,0.2481
295,1/28/18 13:18,240489,9.57604E+17,FALSE,64122,Twitter for iPhone,Somebody please inform Jay-Z that because of my policies Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!,-0.6399
296,1/28/18 4:08,157413,9.57465E+17,FALSE,35964,Twitter for iPhone,Democrats are not interested in Border Safety &amp; Security or in the funding and rebuilding of our Military. They are only interested in Obstruction!,0.2444
297,1/28/18 3:58,175856,9.57463E+17,FALSE,47047,Twitter for iPhone,I have offered DACA a wonderful deal including a doubling in the number of recipients &amp; a twelve year pathway to citizenship for two reasons: (1) Because the Republicans want to fix a long time terrible problem. (2) To show that Democrats do not want to solve DACA only use it!,-0.2695
298,1/27/18 22:59,114304,9.57388E+17,FALSE,22155,Twitter for iPhone,Taliban targeted innocent Afghans brave police in Kabul today. Our thoughts and prayers go to the victims and first responders. We will not allow the Taliban to win!,0.7861
299,1/27/18 19:30,107944,9.57335E+17,FALSE,25987,Twitter for iPhone,On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men women and children and the millions of others who perished in the evil Nazi Genocide. We pledge with all of our might and resolve: Never Again! https://t.co/PfHM7UiZ0C https://t.co/25W0SZHTOu,-0.8955
300,1/27/18 11:55,124248,9.57221E+17,FALSE,29292,Twitter for iPhone,Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we very badly NEED THE WALL. Must also end loophole of “catch &amp; release” and clean up the legal and other procedures at the border NOW for Safety &amp; Security reasons.,0.8692
301,1/26/18 23:27,72341,9.57032E+17,FALSE,16392,Twitter for iPhone,Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B,0.8588
302,1/26/18 17:16,119475,9.56939E+17,FALSE,26389,Twitter for iPhone,DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdown that he is unable to act on immigration!,-0.6996
303,1/26/18 17:12,112306,9.56938E+17,FALSE,22686,Twitter for iPhone,Heading back from a very exciting two days in Davos Switzerland. Speech on America’s economic revival was well received. Many of the people I met will be investing in the U.S.A.! #MAGA,0.7082
304,1/26/18 12:54,52421,9.56873E+17,FALSE,10132,Twitter for iPhone,Join me live at the 2018 World Economic Forum in Davos Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8,0.3595
305,1/26/18 11:23,55881,9.5685E+17,FALSE,10795,Twitter for iPhone,Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our great friendship. Such an honor to be in Switzerland! #WEF18 https://t.co/87pLrCpQkZ,0.9508
306,1/26/18 10:46,63689,9.56841E+17,FALSE,12518,Twitter for iPhone,It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos Switzerland. Many great discussions! #WEF18 https://t.co/SaPzwVhDiB,0.8221
307,1/26/18 10:11,36719,9.56832E+17,FALSE,6604,Twitter for iPhone,Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd,0.5411
308,1/25/18 22:38,84228,9.56658E+17,FALSE,17824,Twitter for iPhone,Today Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal quest to expand the boundaries of human potential. https://t.co/clBsJTGz8B https://t.co/jTJkusdBQA,0.5267
309,1/25/18 18:03,73018,9.56588E+17,FALSE,15210,Twitter for iPhone,Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos Switzerland! #WEF18 https://t.co/2sZM9YI7tJ,0
310,1/25/18 17:25,76560,9.56579E+17,FALSE,16111,Twitter for iPhone,Great bilateral meeting with Prime Minister Theresa May of the United Kingdom affirming the special relationship and our commitment to work together on key national security challenges and economic opportunities. #WEF18 https://t.co/FPP8aRDAyt,0.9477
311,1/25/18 0:27,153096,9.56322E+17,FALSE,28521,Twitter for iPhone,Will soon be heading to Davos Switzerland to tell the world how great America is and is doing. Our economy is now booming and with all I am doing will only get better...Our country is finally WINNING again!,0.8599
312,1/24/18 22:51,79440,9.56298E+17,FALSE,16891,Media Studio,It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local government - and listen to the leaders who know their communities best. Together we will usher in a bold new era of Peace and Prosperity! https://t.co/dmYECTnk0a https://t.co/RSv7V7r0DT,0.9738
313,1/24/18 20:26,98925,9.56262E+17,FALSE,19372,Twitter for iPhone,Earlier today I spoke with @GovMattBevin of Kentucky regarding yesterday’s shooting at Marshall County High School. My thoughts and prayers are with Bailey Holt Preston Cope their families and all of the wounded victims who are in recovery. We are with you!,-0.3802
314,1/24/18 11:58,147591,9.56134E+17,FALSE,33406,Twitter for iPhone,Tremendous investment by companies from all over the world being made in America. There has never been anything like it. Now Disney J.P. Morgan Chase and many others. Massive Regulation Reduction and Tax Cuts are making us a powerhouse again. Long way to go! Jobs Jobs Jobs!,-0.5986
315,1/24/18 4:07,155261,9.56016E+17,FALSE,36887,Twitter for iPhone,Cryin’ Chuck Schumer fully understands especially after his humiliating defeat that if there is no Wall there is no DACA. We must have safety and security together with a strong Military for our great people!,0.616
316,1/24/18 3:54,127998,9.56012E+17,FALSE,32286,Twitter for iPhone,Where are the 50000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!,0.3164
317,1/23/18 14:16,97892,9.55806E+17,FALSE,21698,Twitter for iPhone,Thank you to General John Kelly who is doing a fantastic job and all of the Staff and others in the White House for a job well done. Long hours and Fake reporting makes your job more difficult but it is always great to WIN and few have won more than us!,0.968
318,1/23/18 13:34,112958,9.55796E+17,FALSE,24229,Twitter for iPhone,Nobody knows for sure that the Republicans &amp; Democrats will be able to reach a deal on DACA by February 8 but everyone will be trying....with a big additional focus put on Military Strength and Border Security. The Dems have just learned that a Shutdown is not the answer!,0.8553
