index,publishedAt,sentiment,type
11,2018-01-04T23:55:19Z,-0.2732,news
12,2018-01-04T15:10:49Z,-0.8748,news
13,2018-01-04T00:21:33Z,-0.0516,news
14,2018-01-04T05:19:15Z,0,news
15,2018-01-04T13:52:38Z,0.0772,news
16,2018-01-04T17:00:16Z,-0.9682,news
17,2018-01-04T07:40:23Z,0.0258,news
18,2018-01-04T05:00:25Z,-0.2023,news
19,2018-01-04T15:16:57Z,-0.1583,news
0,2018-01-05T14:30:00Z,-0.6943,news
1,2018-01-05T21:16:55Z,-0.5719,news
2,2018-01-05T19:40:38Z,-0.5859,news
3,2018-01-05T22:06:21Z,-0.936,news
4,2018-01-05T07:35:31Z,0.5574,news
5,2018-01-05T21:45:00Z,-0.5994,news
6,2018-01-05T19:35:00Z,-0.836,news
7,2018-01-05T06:35:32Z,-0.4404,news
8,2018-01-05T17:51:14Z,0.5574,news
9,2018-01-05T18:27:17Z,0.1027,news
10,2018-01-05T17:15:05Z,-0.891,news
11,2018-01-05T18:24:57Z,0.6124,news
12,2018-01-05T07:28:04Z,0,news
13,2018-01-05T10:56:46Z,-0.4404,news
14,2018-01-05T20:58:42Z,-0.8553,news
15,2018-01-05T22:55:09Z,-0.4215,news
16,2018-01-05T14:35:00Z,-0.8311,news
17,2018-01-05T17:26:07Z,0.25,news
18,2018-01-05T18:52:33Z,-0.5385,news
19,2018-01-05T00:24:01Z,0.7604,news
0,2018-01-06T14:00:00Z,0.7089,news
1,2018-01-06T01:35:19Z,0,news
2,2018-01-06T13:14:44Z,0.3818,news
3,2018-01-06T20:15:11Z,0,news
4,2018-01-06T02:02:03Z,0.6597,news
5,2018-01-06T19:34:16Z,0.6808,news
6,2018-01-06T20:56:24Z,-0.6369,news
7,2018-01-06T15:08:36Z,0.6096,news
8,2018-01-06T20:13:47Z,0.7178,news
9,2018-01-06T19:01:55Z,0.1027,news
10,2018-01-06T10:01:03Z,0.7184,news
11,2018-01-06T15:43:10Z,0.5514,news
12,2018-01-06T10:00:29Z,0.6486,news
13,2018-01-06T14:49:03Z,-0.5859,news
14,2018-01-06T02:31:22Z,0.4215,news
15,2018-01-06T17:35:00Z,-0.7269,news
16,2018-01-06T12:00:17Z,-0.7579,news
17,2018-01-06T12:46:51Z,0.7902,news
18,2018-01-06T17:36:04Z,0,news
19,2018-01-06T11:52:24Z,0,news
0,2018-01-07T14:00:00Z,0.5106,news
1,2018-01-07T20:30:00Z,0,news
2,2018-01-07T07:59:23Z,0.5267,news
3,2018-01-07T18:47:26Z,0.1779,news
4,2018-01-07T11:00:37Z,0.2023,news
5,2018-01-07T17:15:56Z,-0.6597,news
6,2018-01-07T15:59:14Z,-0.6705,news
7,2018-01-07T19:02:26Z,0,news
8,2018-01-07T13:11:28Z,-0.2382,news
9,2018-01-07T19:14:58Z,-0.34,news
10,2018-01-07T14:31:38Z,0,news
11,2018-01-07T15:04:40Z,0.2023,news
12,2018-01-07T17:10:40Z,-0.7269,news
13,2018-01-07T10:17:26Z,0.9578,news
14,2018-01-07T19:15:14Z,0.3612,news
15,2018-01-07T16:54:14Z,0.5106,news
16,2018-01-07T11:27:18Z,0.836,news
17,2018-01-07T00:01:07Z,-0.9062,news
18,2018-01-07T09:00:06Z,-0.1531,news
19,2018-01-07T12:00:15Z,0.1531,news
0,2018-01-08T19:49:00Z,0.3818,news
1,2018-01-08T13:00:00Z,0.4019,news
2,2018-01-08T19:25:00Z,-0.2732,news
